Name,Link,Category,Location,Description,Tags,Programs,Who They Serve,Neighborhood,Impact,Themes,Age Group,Volunteer Friendly
Association House of Chicago,https://www.associationhouse.org/,Education,"Chicago, IL - Humboldt Park","Association House is a nonprofit organization located in Humboldt Park that provides wraparound services in English and Spanish to children, families, and adults. They offer a broad range of programs including early childhood education, behavioral health, workforce development, and community services. Their bilingual approach ensures equitable access for Chicago's Latino community.","bilingual services, education, behavioral health, workforce development, Humboldt Park, Latino community, wraparound services, Chicago","Early Childhood Education; Behavioral Health Services; Workforce Development; Adult Education; Youth Programs; Community Services; Family Support","Children, families, and adults in Humboldt Park and surrounding neighborhoods; Latino and immigrant communities",Humboldt Park,Serves thousands of residents annually with bilingual wraparound services in one of Chicago's most underserved neighborhoods,"education access, mental health, workforce development, community building, immigrant support, youth empowerment",all ages,yes
Casa Central,https://www.casacentral.org/,Youth Development,"Chicago, IL - Humboldt Park","Casa Central has been serving the community since 1954, providing essential programs for children, families, and older adults that transform lives and uplift communities. They are one of the largest Latino social service agencies in the Midwest, offering services in early childhood, youth development, family support, and senior care. Their bilingual staff ensures culturally competent care for Chicago's Hispanic community.","Latino community, social services, youth development, early childhood, senior care, bilingual, Humboldt Park, Chicago","Early Childhood Programs; Youth Development; Family Support Services; Senior Services; Adult Education; Community Programs","Children, families, and older adults in Chicago's Latino community; emphasis on Humboldt Park and West Town",Humboldt Park,Serves 5000+ individuals annually across multiple program areas since 1954,"education access, community building, youth empowerment, basic needs, immigrant support",all ages,yes
Big Shoulders Fund,https://www.bigshouldersfund.org/,Education,"Chicago, IL","Big Shoulders Fund supports Catholic schools in Chicago's most under-resourced neighborhoods, ensuring that low-income children have access to a quality education. They provide scholarships, teacher training, and school improvement grants to help these schools thrive. Their work ensures that thousands of children in underserved communities can attend high-quality schools.","Catholic schools, education, scholarships, teacher training, low-income, underserved, Chicago, school improvement","Scholarships; Teacher Training & Professional Development; School Improvement Grants; Leadership Development; Technology Support","Low-income children and families in Chicago's most under-resourced neighborhoods",citywide,Supports 50+ Catholic schools and provides millions in scholarships to low-income students annually,"education access, community building, youth empowerment, economic mobility",youth,no
Habitat for Humanity Chicago,https://www.habitatchicago.org/,Housing,"Chicago, IL","Habitat for Humanity Chicago builds and rehabilitates homes with and for low-income families in Chicago, making homeownership accessible and affordable. Volunteers and future homeowners work side by side to build decent, affordable housing. Beyond construction, Habitat Chicago offers financial literacy and homeownership education to set families up for long-term success.","affordable housing, homeownership, construction, volunteers, low-income, financial literacy, community development, Chicago","Home Building & Rehabilitation; Homeownership Education; Financial Literacy Programs; ReStore (resale home improvement store); Volunteer Build Days","Low-income families seeking affordable homeownership in Chicago",citywide,Has built and rehabilitated hundreds of homes in Chicago since its founding,"housing stability, community building, economic mobility, workforce development",all ages,yes
Chicago Youth Centers,https://www.chicagoyouthcenters.org/,Youth Development,"Chicago, IL","Chicago Youth Centers has been empowering youth in Chicago's most underserved communities for over 60 years. They provide after-school programs, summer camps, and year-round youth development services that help young people build skills, confidence, and a path to success. Their centers are located in neighborhoods with the greatest need on the South and West sides.","youth development, after-school, summer camp, mentorship, South Side, West Side, education, empowerment","After-School Programs; Summer Camp; Teen Programs; STEM Education; Arts Programs; Sports & Recreation; Family Engagement","Youth ages 6–18 in Chicago's South and West Side neighborhoods","South Side, West Side",Serves thousands of youth annually across multiple neighborhood centers,"youth empowerment, education access, mentorship, community building, safe spaces",youth,yes
Gilda's Club Chicago,https://www.gildasclubchicago.org/,Mental Health,"Chicago, IL - Lincoln Square","Gilda's Club Chicago offers free social and emotional support programs for people living with cancer and their families and friends. Named after comedian Gilda Radner, who died of ovarian cancer in 1989, the organization provides hundreds of programs monthly including support groups, educational workshops, and social activities. All programs are free and open to anyone touched by cancer.","cancer support, mental health, free programs, support groups, education, community, family, wellness","Support Groups; Educational Workshops; Social Activities; Kids & Teens Programs; Networking Groups; Mind-Body Programs; Noogieland (children's program)","People living with cancer and their families, friends, and caregivers","Lincoln Square",Provides 200+ free programs monthly to hundreds of community members affected by cancer,"mental health, community building, public health, safe spaces",all ages,yes
Care for Real,https://careforreal.org/,Food,"Chicago, IL - Edgewater","Care for Real is a nonprofit focused on reducing food insecurity on Chicago's North Side, distributing food and clothing to community members six days a week. Founded over 50 years ago, they continue to serve neighbors in need with dignity and respect. They also support local animal welfare by providing families with supplies from their pet pantry.","food insecurity, food pantry, clothing, North Side, Edgewater, community, pet pantry, dignity","Food Pantry (6 days/week); Clothing Distribution; Pet Pantry; Community Outreach","Low-income individuals and families on Chicago's North Side; pet owners in need",Edgewater,Serves thousands of neighbors annually with food and clothing six days a week for over 50 years,"basic needs, community building, public health",all ages,yes
Working Bikes,https://www.workingbikes.org/,Economic Mobility,"Chicago, IL - Little Village","Working Bikes believes every person deserves a set of two wheels. This nonprofit operates out of Little Village and sells refurbished bicycles and bike parts at affordable prices, using proceeds to support its mission of reducing waste and promoting personal wellness. Each year, Working Bikes donates approximately 1500 bikes to local children and adults and ships an estimated 7000 bikes abroad.","bicycles, sustainability, transportation, Little Village, refurbished bikes, international donations, community, wellness","Refurbished Bike Sales; Local Bike Donations (youth & adults); International Bike Shipping (Americas & Africa); Volunteer Repair Workshops; Youth Programs","Community members needing affordable transportation; children and adults locally; communities in the Americas and Africa","Little Village",Donates ~1500 bikes locally and ships ~7000 bikes internationally each year,"community building, economic mobility, environmental justice, youth empowerment",all ages,yes
Chicago CRED,https://www.chicagocred.org/,Criminal Justice,"Chicago, IL - South & West Sides","Chicago CRED (Create Real Economic Destiny) is dedicated to reducing gun violence in Chicago by breaking the cycle of underlying factors that cause it. The organization deploys outreach workers, mentors, and life coaches to reach community members from economically disadvantaged communities. They focus on the South and West Sides where gun violence is most concentrated.","gun violence, violence prevention, outreach, mentorship, economic opportunity, South Side, West Side, Chicago","Street Outreach; Mentorship & Life Coaching; Workforce Development; Mental Health Services; Legal Aid; Community Healing","Young adults at highest risk of gun violence on Chicago's South and West Sides","South Side, West Side",Has served thousands of high-risk individuals with outreach and wraparound services to reduce gun violence,"systemic change, mentorship, economic mobility, mental health, workforce development, community building",adults,no
Collaboraction,https://collaboraction.org/,Arts & Culture,"Chicago, IL","Collaboraction is a Chicago theater company that uses the arts as a tool for social justice and community change. Their annual Peacebook festival brings community artists to the stage to call for societal change using music, dance, and spoken word. Their program The Light pairs young performers with older mentors who provide guidance on blending art with activism.","theater, social justice, arts, community, youth, mentorship, activism, spoken word","Peacebook Festival; The Light (youth arts mentorship); Community Theater Productions; Social Justice Workshops","Chicago community members; youth artists; social justice advocates",citywide,Annual Peacebook festival engages hundreds of artists and community members in social justice storytelling,"community building, mentorship, youth empowerment, safe spaces, systemic change",all ages,yes
Imerman Angels,https://www.imermanangels.org/,Mental Health,"Chicago, IL","Imerman Angels provides free one-on-one cancer support by thoughtfully connecting cancer fighters, survivors, and caregivers with someone who has faced the same type of cancer. Their peer support model ensures that no one faces cancer alone, offering emotional support and practical guidance. They serve people across all 50 states and in over 100 countries.","cancer support, peer support, mentorship, survivors, caregivers, mental health, free services, global","One-on-One Cancer Mentor Matching; Caregiver Support Matching; Online Support Community; Resource Library","Cancer patients, survivors, and caregivers across the U.S. and internationally",citywide,Has matched 30000+ cancer fighters and survivors with mentors across 100+ countries,"mental health, community building, mentorship, public health",all ages,no
A Safe Haven Foundation,https://www.asafehaven.org/,Housing,"Chicago, IL","A Safe Haven Foundation helps people aspire, transform, and sustain their lives from homelessness to self-sufficiency with pride and purpose. They provide a comprehensive continuum of care including housing, healthcare, workforce training, and social enterprise opportunities. Their model is designed to address the root causes of homelessness and poverty.","homelessness, housing, workforce training, social enterprise, self-sufficiency, Chicago, recovery, community","Transitional Housing; Permanent Supportive Housing; Workforce Development; Healthcare Services; Social Enterprise (Safe Haven Farm Works); Recovery Programs; Family Services","Individuals and families experiencing homelessness; veterans; people in recovery",citywide,Has served 100000+ individuals since founding with housing and self-sufficiency programs,"housing stability, basic needs, workforce development, mental health, community building",all ages,yes
Afterschool Matters,https://www.afterschoolmatters.org/,Youth Development,"Chicago, IL","After School Matters is a Chicago nonprofit that provides Chicago high school teens with after-school and summer program opportunities to explore their interests and develop their talents. Programs are offered in arts, communications, sports, STEM, and more, and are taught by professional instructors. They partner with the Chicago Park District, Chicago Public Schools, and community organizations citywide.","youth development, after-school, teens, arts, STEM, sports, Chicago, high school","Arts Programs; Communications & Media; Sports Programs; STEM Programs; Apprenticeships; Summer Programs","Chicago high school teens, ages 14–18",citywide,Serves 20000+ teens annually across Chicago neighborhoods,"youth empowerment, education access, mentorship, community building, safe spaces",youth,no
Youth Guidance,https://www.youthguidance.org/,Youth Development,"Chicago, IL","Youth Guidance creates and implements school-based programs that help kids overcome the life challenges that can stand in the way of their success. Their evidence-based Becoming a Man (BAM) and Working on Womanhood (WOW) programs use sports and group sessions to teach social-emotional skills. They serve students in Chicago and other cities across the country.","youth development, school-based, social-emotional learning, mentorship, boys, girls, Chicago, evidence-based","Becoming a Man (BAM); Working on Womanhood (WOW); School-Based Counseling; STEM Programs; Sports-Based Programs","At-risk youth in Chicago Public Schools; emphasis on underserved South and West Side communities",citywide,BAM participants are 19% more likely to graduate high school and 30% less likely to be arrested,"youth empowerment, mentorship, education access, mental health, community building",youth,no
BUILD Chicago,https://www.buildchicago.org/,Criminal Justice,"Chicago, IL - Humboldt Park & Pilsen","BUILD (Broader Urban Involvement and Leadership Development) is a Chicago nonprofit that uses street outreach, youth programming, and community development to prevent violence and empower young people. They work in some of Chicago's most challenged neighborhoods, providing alternatives to gang involvement and pathways to positive futures. Their approach combines crisis intervention with long-term youth development.","violence prevention, street outreach, youth development, gang intervention, Humboldt Park, Pilsen, Chicago, community","Street Outreach & Intervention; Youth Development Programs; Community Organizing; Arts Programs; Sports Programs; Case Management","At-risk youth and young adults in Chicago's Humboldt Park, Pilsen, and surrounding neighborhoods","Humboldt Park, Pilsen",Has served thousands of at-risk youth with violence prevention and development programs for over 50 years,"youth empowerment, community building, safe spaces, mentorship, systemic change",youth,yes
YWCA Metropolitan Chicago,https://www.ywcachicago.org/,Women Empowerment,"Chicago, IL","YWCA Metropolitan Chicago is dedicated to eliminating racism, empowering women, and promoting peace, justice, freedom, and dignity for all. They provide a wide range of services including domestic violence support, economic advancement programs, and racial justice initiatives. As one of Chicago's oldest and largest women's organizations, they serve thousands of women and families each year.","women empowerment, racial justice, domestic violence, economic advancement, Chicago, advocacy, community, equity","Domestic Violence Services; Economic Advancement Programs; Racial Justice Initiatives; Leadership Development; Workforce Training; Youth Programs; Housing Services","Women, girls, and families in the Chicago metropolitan area; survivors of domestic violence",citywide,Serves 200000+ people annually across the Chicago metropolitan area,"safe spaces, economic mobility, systemic change, workforce development, community building, housing stability",all ages,yes
Chicago Foundation for Women,https://www.cfw.org/,Women Empowerment,"Chicago, IL","The Chicago Foundation for Women invests in organizations and individuals working to advance gender equity in the Chicago region. They provide grants, leadership development, and advocacy to support women and girls, with a focus on safety, economic security, and health. CFW has invested over $50 million in the Chicago region since its founding in 1985.","gender equity, women, grants, leadership, safety, economic security, health, Chicago","Grantmaking; Leadership Development; Advocacy; Donor Education; Women's Fund Programs","Women and girls in the Chicago region; nonprofit organizations serving women and girls",citywide,Invested $50 million+ in the Chicago region since 1985 to advance gender equity,"economic mobility, systemic change, community building, public health, safe spaces",all ages,no
Chicago Literacy Alliance,https://www.chicagoliteracyalliance.org/,Education,"Chicago, IL","The Chicago Literacy Alliance is a nonprofit that connects, supports, and amplifies the work of literacy organizations across Chicago. They serve as a hub for over 100 literacy-focused nonprofits, helping them collaborate and share resources to improve literacy outcomes citywide. Their work addresses literacy as a foundational skill for education, employment, and civic participation.","literacy, education, nonprofits, collaboration, reading, writing, Chicago, community","Literacy Network Building; Resource Sharing; Collaborative Programs; Literacy Advocacy; Community Events; Literacy Directory","Children, adults, and families across Chicago seeking literacy support; literacy-focused nonprofits",citywide,Connects 100+ literacy organizations serving tens of thousands of Chicagoans annually,"education access, community building, economic mobility, workforce development",all ages,no
Urban Initiatives,https://www.urbaninitiatives.org/,Youth Development,"Chicago, IL","Urban Initiatives uses soccer as a vehicle to teach life skills, promote academic success, and develop character in Chicago youth. Their school-based programs integrate soccer with social-emotional learning and academic support, reaching students in underserved neighborhoods. They partner with Chicago Public Schools and community organizations across the city.","youth development, soccer, social-emotional learning, academic support, Chicago, school-based, life skills, sports","Work to Play (school-based soccer & life skills); Summer Programs; Community Events; Teacher Engagement","Youth in Chicago Public Schools; emphasis on underserved communities",citywide,Serves 10000+ students annually across Chicago Public Schools with soccer-based programming,"youth empowerment, education access, mentorship, community building",youth,yes
Sarah's Circle,https://www.sarahscircle.org/,Housing,"Chicago, IL - Uptown","Sarah's Circle provides a safe, welcoming place for women who are homeless or in crisis, offering shelter, housing, and supportive services to help women achieve stability and independence. They operate a 24/7 drop-in center and transitional housing, and provide case management, mental health services, and employment support. They serve women on Chicago's North Side, particularly in Uptown.","women, homelessness, shelter, housing, mental health, employment, Uptown, Chicago","24/7 Drop-In Center; Transitional Housing; Permanent Supportive Housing; Case Management; Mental Health Services; Employment Support; Basic Needs Services","Women who are homeless or in crisis on Chicago's North Side",Uptown,Provides shelter and services to hundreds of women annually in Uptown,"housing stability, basic needs, mental health, workforce development, safe spaces",adults,yes
Steppenwolf Theatre Company,https://www.steppenwolf.org/,Arts & Culture,"Chicago, IL - Lincoln Park","Steppenwolf Theatre Company is one of America's premier theater companies, known for its ensemble approach and commitment to artistic excellence and community engagement. Founded in 1974, Steppenwolf produces world-class theater and runs extensive education and community programs. Their Steppenwolf for Young Adults program brings theater to Chicago Public School students.","theater, arts, community engagement, education, Lincoln Park, Chicago, ensemble, youth","Main Stage Productions; Steppenwolf for Young Adults (SYA); Education Programs; LookOut Series; New Play Development; Community Programs","Theater audiences; Chicago youth and students; emerging artists",Lincoln Park,Serves 200000+ audience members annually and reaches thousands of students through education programs,"community building, education access, youth empowerment, safe spaces",all ages,yes
Chicago Sinfonietta,https://www.chicagosinfonietta.org/,Arts & Culture,"Chicago, IL","The Chicago Sinfonietta is one of the most diverse orchestras in the nation, committed to using music to build bridges across communities and cultures. Founded in 1987 by Paul Freeman, the orchestra actively champions diversity, equity, and inclusion in classical music. They offer education programs, community concerts, and mentorship for young musicians of color.","orchestra, diversity, classical music, arts, community, education, equity, inclusion","Symphony Concerts; Education Programs; Project Inclusion (mentorship for musicians of color); Community Concerts; Youth Programs","Music lovers and communities across Chicago; young musicians of color; underserved communities",citywide,One of the most diverse orchestras in the U.S. with Project Inclusion mentoring dozens of young musicians of color annually,"community building, education access, mentorship, youth empowerment",all ages,yes
Lakeview Pantry,https://www.lakeviewpantry.org/,Food,"Chicago, IL - Lakeview","Lakeview Pantry is one of Chicago's largest food pantries, providing food, social services, and mental health support to neighbors in need on the North Side. They serve thousands of households each month with groceries, and also offer case management, mental health counseling, and benefits navigation. Their holistic approach addresses both immediate food needs and underlying causes of food insecurity.","food pantry, food insecurity, social services, mental health, North Side, Lakeview, Chicago, community","Food Pantry; Mental Health Services; Case Management; Benefits Navigation; Community Programs; Holiday Programs","Low-income individuals and families on Chicago's North Side",Lakeview,Serves 3000+ households monthly with food and wraparound services,"basic needs, mental health, community building, public health",all ages,yes
Inspiration Corporation,https://www.inspirationcorp.org/,Economic Mobility,"Chicago, IL - Uptown","Inspiration Corporation helps people who are affected by homelessness and poverty to improve their lives and increase self-sufficiency through the power of employment, housing, and community. They operate a social enterprise restaurant (Inspiration Kitchens) that provides culinary job training and a café open to the public. Their approach combines dignity, community, and practical skills.","homelessness, poverty, employment, housing, culinary training, social enterprise, Uptown, Chicago","Culinary Job Training (Inspiration Kitchens); Employment Services; Housing Programs; Community Café; Case Management","People affected by homelessness and poverty; individuals seeking employment and housing",Uptown,Trains and places hundreds of individuals in culinary and food service jobs annually,"economic mobility, workforce development, housing stability, community building, basic needs",adults,yes
